id,first_name,last_name,executive_year,executive_position,
,,,1998,Travelling Teams' Convenor,Nick Caswell or Gary Thomas?
,Dave,Stedman,1998,Masters' Team Convenor,
,Bob,Gill,1998,Equipment Manager,
,,,1998,Statistician,Cam Lovelady or Pat Baldwin?
,Phil,Beaudoin,1998,Executive Officer,
,,,1998,Special Events Coordinator,Wayne Jessop?
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Steve,Connor,1999,President,
,Chuck,Beaudoin,1999,Vice President,
,Doug,Jackson,1999,Secretary,
,Paul,Taylor,1999,Treasurer,
,Bob,Ishibashi,1999,Registrar,
,Phil,Beaudoin,1999,Executive Officer,
,Paul,Buono,1999,House League Convenor,
,Gary,Thomas,1999,Travelling Teams' Convenor,
,Dave,Stedman,1999,Masters' Team Convenor,
,Bob,Gill,1999,Equipment Manager,
,Pat,Baldwin,1999,Statistician,
,Wayne,Jessop,1999,Special Events Coordinator,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Steve,Connor,2000,President,
,Gary,Thomas,2000,Vice President,
,Doug,Jackson,2000,Secretary,
,Paul,Taylor,2000,Treasurer,
,Bob,Ishibashi,2000,Registrar,
,Phil,Beaudoin,2000,Executive Officer,
,Paul,Buono,2000,House League Convenor,
,Gary,Thomas,2000,Travelling Teams' Convenor,
,Dave,Stedman,2000,Masters' Team Convenor,
,Bob,Gill,2000,Equipment Manager,
,John,Pintaric,2000,Statistician,
,Wayne,Jessop,2000,Special Events Coordinator,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Gary,Thomas,2001,President,
,Phil,Beaudoin,2001,Vice President,
,Doug,Jackson,2001,Secretary,
,Paul,Taylor,2001,Treasurer,
,Bob,Ishibashi,2001,Registrar,
,Wayne,Jessop,2001,House League Convenor,
,Jim,Beach,2001,Travelling Teams' Convenor,
,Dave,Stedman,2001,Masters' Team Convenor,
,Bob,Gill,2001,Equipment Manager,
,John,Pintaric,2001,Statistician,
,Pat,Baldwin,2001,Special Events Coordinator,
,Steve,Connor,2001,Past President,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Phil,Beaudoin,2002,President,
,Bob,Spence,2002,Vice President,
,Doug,Jackson,2002,Secretary,
,Paul,Taylor,2002,Treasurer,
,Bob,Ishibashi,2002,Registrar,
,Wayne,Jessop,2002,House League Convenor,
,Jim,Beach,2002,Travelling Teams' Convenor,
,Dave,Stedman,2002,Masters' Team Convenor,
,Bob,Sorley,2002,Equipment Manager,
,John,Pintaric,2002,Statistician,
,Pat,Baldwin,2002,Special Events Coordinator,
